from,to,weight
Heteromastus filiformis,Phytodetritus,1
Heteromastus filiformis,Sediment,1
Leitoscoloplos mammosus,Phytodetritus,1
Leitoscoloplos mammosus,Sediment,1
Levinsenia gracilis,Phytodetritus,1
Levinsenia gracilis,Sediment,1
Lumbrineris,Phytodetritus,1
Lysippe labiata,Phytodetritus,1
Lysippe labiata,Sediment,1
Nephtys ciliata,Phytodetritus,1
Nereimyra punctata,Phytodetritus,1
Nereimyra punctata,Sediment,1
Nereis zonata,Tanaidacea,1
Nereis zonata,Haliclona,1
Nereis zonata,Harmothoe imbricata,1
Nereis zonata,Nereis zonata,1
Nereis zonata,Phyllodoce,1
Nereis zonata,Priapulus caudatus,1
Nereis zonata,Sipunculida,1
Nereis zonata,Philine,1
Nereis zonata,Phytodetritus,1
Nereis zonata,Sediment,1
Pholoe assimilis,Phytodetritus,1
Pholoe assimilis,Sediment,1
Phyllodoce,Phytodetritus,1
Phyllodoce,Sediment,1
Polydora,Phytodetritus,1
Polydora,Sediment,1
Prionospio cirrifera,Phytodetritus,1
Prionospio cirrifera,Sediment,1
Sabellides octocirrata,Phytodetritus,1
Sabellides octocirrata,Sediment,1
Samytha sexcirrata,Phytodetritus,1
Samytha sexcirrata,Sediment,1
Scoletoma fragilis,Phytodetritus,1
Scoletoma fragilis,Sediment,1
Scoloplos armiger,Phytodetritus,1
Scoloplos armiger,Sediment,1
Spio,Phytodetritus,1
Spio,Sediment,1
Terebellides stroemi,Phytodetritus,1
Terebellides stroemi,Sediment,1
Thelepus cincinnatus,Phytodetritus,1
Thelepus cincinnatus,Sediment,1
Halicryptus spinulosus,POM,1
Halicryptus spinulosus,Phytodetritus,1
Halicryptus spinulosus,Sediment,1
Priapulus caudatus,POM,1
Priapulus caudatus,Phytodetritus,1
Priapulus caudatus,Sediment,1
Sipunculida,Phytodetritus,1
Sipunculida,Sediment,1
Pycnogonida,Glycera capitata,1
Pycnogonida,Harmothoe imbricata,1
Pycnogonida,Heteromastus filiformis,1
Pycnogonida,Leitoscoloplos mammosus,1
Pycnogonida,Levinsenia gracilis,1
Pycnogonida,Lumbrineris,1
Pycnogonida,Lysippe labiata,1
Pycnogonida,Nephtys ciliata,1
Pycnogonida,Nereimyra punctata,1
Pycnogonida,Nereis zonata,1
Pycnogonida,Boreocingula castanea,1
Pycnogonida,Boreotrophon truncatus,1
Pycnogonida,Buccinum scalariforme,1
Pycnogonida,Buccinum terranovae,1
Pycnogonida,Buccinum undatum,1
Pycnogonida,Cylichna cf. alba,1
Pycnogonida,Cylichna cf. oculata,1
Pycnogonida,Elachisina globuloides,1
Pycnogonida,Erginus rubellus,1
Pycnogonida,Euspira pallida,1
Pycnogonida,Frigidoalvania cruenta,1
Pycnogonida,Lepeta caeca,1
Pycnogonida,Margarites groenlandicus,1
Pycnogonida,Margarites helicinus,1
Pycnogonida,Menestho albula,1
Pycnogonida,Menestho truncatula,1
Pycnogonida,Oenopota impressa,1
Pycnogonida,Philine,1
Pycnogonida,Puncturella noachina,1
Pycnogonida,Retusa obtusata,1
Pycnogonida,Solariella varicosa,1
Chaetoderma,Phytodetritus,1
Chaetoderma,Sediment,1
Tonicella marmorea,Fucus distichus,1
Tonicella marmorea,Pylaiella littoralis,1
Tonicella marmorea,Chordaria flagelliformis,1
Tonicella marmorea,Acrosiphonia,1
Tonicella marmorea,Alaria esculenta,1
Tonicella marmorea,Laminaria saccharina,1
Tonicella marmorea,Laminaria digitata,1
Tonicella marmorea,Saccorhiza dermatodea,1
Tonicella marmorea,Laminaria solidungula,1
Tonicella marmorea,Phycodrys rubens,1
Tonicella marmorea,Ptilta gunneri,1
Tonicella marmorea,Fimbrifolium dichotomum,1
Tonicella marmorea,Desmarestia aculeata,1
Tonicella marmorea,Palmaria palmata,1
Tonicella marmorea,Devaleraea ramentacea,1
Tonicella marmorea,Turnerella pennyi,1
Tonicella marmorea,Desmarestia viridis,1
Tonicella marmorea,Phytodetritus,1
Tonicella marmorea,Sediment,1
Tonicella rubra,Fucus distichus,1
Tonicella rubra,Pylaiella littoralis,1
Tonicella rubra,Chordaria flagelliformis,1
Tonicella rubra,Acrosiphonia,1
Tonicella rubra,Alaria esculenta,1
Tonicella rubra,Laminaria saccharina,1
Tonicella rubra,Laminaria digitata,1
Tonicella rubra,Saccorhiza dermatodea,1
Tonicella rubra,Laminaria solidungula,1
Tonicella rubra,Phycodrys rubens,1
Tonicella rubra,Ptilta gunneri,1
Tonicella rubra,Fimbrifolium dichotomum,1
Tonicella rubra,Desmarestia aculeata,1
Tonicella rubra,Palmaria palmata,1
Tonicella rubra,Devaleraea ramentacea,1
Tonicella rubra,Turnerella pennyi,1
Tonicella rubra,Desmarestia viridis,1
Tonicella rubra,Sediment,1
Boreocingula castanea,Phytodetritus,1
Boreocingula castanea,Sediment,1
Boreotrophon truncatus,Fucus distichus,1
Boreotrophon truncatus,Laminaria saccharina,1
Boreotrophon truncatus,Laminaria digitata,1
Boreotrophon truncatus,Saccorhiza dermatodea,1
Buccinum scalariforme,Fucus distichus,1
Buccinum scalariforme,Pylaiella littoralis,1
Buccinum scalariforme,Chordaria flagelliformis,1
Buccinum scalariforme,Acrosiphonia,1
Buccinum scalariforme,Alaria esculenta,1
Buccinum scalariforme,Laminaria saccharina,1
Buccinum scalariforme,Laminaria digitata,1
Buccinum scalariforme,Saccorhiza dermatodea,1
Buccinum scalariforme,Laminaria solidungula,1
Buccinum scalariforme,Phycodrys rubens,1
Buccinum scalariforme,Ptilta gunneri,1
Buccinum scalariforme,Fimbrifolium dichotomum,1
Buccinum scalariforme,Desmarestia aculeata,1
Buccinum scalariforme,Palmaria palmata,1
Buccinum scalariforme,Devaleraea ramentacea,1
Buccinum scalariforme,Turnerella pennyi,1
Buccinum scalariforme,Desmarestia viridis,1
Buccinum scalariforme,Urticina eques,1
Buccinum scalariforme,Hormathia nodosa,1
Buccinum scalariforme,Phytodetritus,1
Buccinum terranovae,Fucus distichus,1
Buccinum terranovae,Pylaiella littoralis,1
Buccinum terranovae,Chordaria flagelliformis,1
Buccinum terranovae,Acrosiphonia,1
Buccinum terranovae,Alaria esculenta,1
Buccinum terranovae,Laminaria saccharina,1
Buccinum terranovae,Laminaria digitata,1
Buccinum terranovae,Saccorhiza dermatodea,1
Buccinum terranovae,Laminaria solidungula,1
Buccinum terranovae,Phycodrys rubens,1
Buccinum terranovae,Ptilta gunneri,1
Buccinum terranovae,Fimbrifolium dichotomum,1
Buccinum terranovae,Desmarestia aculeata,1
Buccinum terranovae,Palmaria palmata,1
Buccinum terranovae,Devaleraea ramentacea,1
Buccinum terranovae,Turnerella pennyi,1
Buccinum terranovae,Desmarestia viridis,1
Buccinum terranovae,Urticina eques,1
Buccinum terranovae,Hormathia nodosa,1
Buccinum terranovae,Phytodetritus,1
Buccinum undatum,Fucus distichus,1
Buccinum undatum,Pylaiella littoralis,1
Buccinum undatum,Chordaria flagelliformis,1
Buccinum undatum,Acrosiphonia,1
Buccinum undatum,Alaria esculenta,1
Buccinum undatum,Laminaria saccharina,1
Buccinum undatum,Laminaria digitata,1
Buccinum undatum,Saccorhiza dermatodea,1
Buccinum undatum,Laminaria solidungula,1
Buccinum undatum,Phycodrys rubens,1
Buccinum undatum,Ptilta gunneri,1
Buccinum undatum,Fimbrifolium dichotomum,1
Buccinum undatum,Desmarestia aculeata,1
Buccinum undatum,Palmaria palmata,1
Buccinum undatum,Devaleraea ramentacea,1
Buccinum undatum,Turnerella pennyi,1
Buccinum undatum,Desmarestia viridis,1
Buccinum undatum,Phytodetritus,1
Cylichna cf. alba,Phytodetritus,1
Cylichna cf. oculata,Phytodetritus,1
Elachisina globuloides,Phytodetritus,1
Erginus rubellus,Fucus distichus,1
Erginus rubellus,Pylaiella littoralis,1
Erginus rubellus,Chordaria flagelliformis,1
Erginus rubellus,Acrosiphonia,1
Erginus rubellus,Alaria esculenta,1
Erginus rubellus,Laminaria saccharina,1
Erginus rubellus,Laminaria digitata,1
Erginus rubellus,Saccorhiza dermatodea,1
Erginus rubellus,Laminaria solidungula,1
Erginus rubellus,Phycodrys rubens,1
Erginus rubellus,Ptilta gunneri,1
Erginus rubellus,Fimbrifolium dichotomum,1
Erginus rubellus,Desmarestia aculeata,1
Erginus rubellus,Palmaria palmata,1
Erginus rubellus,Devaleraea ramentacea,1
Erginus rubellus,Turnerella pennyi,1
Erginus rubellus,Desmarestia viridis,1
Erginus rubellus,Phytodetritus,1
Euspira pallida,Phytodetritus,1
Frigidoalvania cruenta,Phytodetritus,1
